Cod_IBGE;Mortalidade_infantil;IDHM_Educacao;Densidade_demográfica;Renda_per_capita;Grau_de_Urbanizacao;Indice_de_Gini;Esgoto_Sanitario;Estab_por_mil_Hab;Doses_Aplicadas_mil_Hab;Razao_Medico_mil_Hab;den_binned
3502903;7,23;0,723;133,73;763,31;68,73;0,533;40,67;0,833590614;465,7919111;1,759802408;3
3503000;14,49;0,656;27,71;616,78;96,31;0,43;97,14;2,183406114;315,1382824;1,091703057;2
3503109;30,93;0,592;22,23;484,52;82,51;0,392;94,64;0,811030008;358,3130576;1,622060016;2
3503158;71,43;0,612;15,74;414,54;77,7;0,398;59,38;1,618777823;366,2484824;2,023472278;2
3503208;10,46;0,782;235,22;891,74;97,16;0,504;98,89;3,356500804;495,8614872;3,848553278;3
3503307;12,11;0,728;208,17;796,15;95,2;0,482;99,79;2,273819788;651,1975705;3,036846563;3
3503356;33,33;0,694;6,76;468,04;64,15;0,408;98,14;1,101321586;567,7312775;0,984600843;1
3503406;21,05;0,683;16,95;616,98;83,88;0,451;90,71;1,58613958;370,0585652;1,098096633;2
3503505;21,28;0,672;12,73;356,22;67,06;0,46;86,91;1,301066875;489,2011449;2,081707;2
3503604;22,9;0,594;129,55;502,08;92,68;0,366;98,97;1,381597126;468,2693193;1,105277701;3
3503703;25;0,663;72,9;669,28;94,7;0,403;99,26;1,502145923;532,5107296;0,429184549;2
3503802;7,36;0,681;305,62;661,52;90,54;0,471;96,26;1,69172575;410,9372921;1,558668669;3
3503901;16,32;0,73;934,04;745,4;96,31;0,577;58,3;0,64628276;631,5073988;2,40684614;3
3503950;14,29;0,657;26,26;422,34;74,9;0,465;99,06;1,133144476;592,0679887;0,566572238;2
3504008;7,69;0,781;226,63;802,57;95,64;0,504;98,52;4,103332972;409,7611979;3,314230477;3
3504107;11,07;0,67;298,34;871,55;93,66;0,551;56,82;2,277839061;550,1626005;5,386587969;3
3504206;5,85;0,738;34,96;676,26;93,41;0,474;96,92;2,073111741;338,2627324;1,520281943;2
3504305;14,08;0,65;9,99;474,78;67,15;0,488;95,38;0,378214826;510,2118003;0,378214826;1
3504404;6,37;0,623;40,34;465,53;84,56;0,442;99,31;1,403334984;314,7597821;0,577843817;2
3504503;11,49;0,695;74,73;723,28;96,54;0,48;96,84;2,901597021;483,5614248;1,976284585;2
3504602;4,65;0,701;158,57;693,08;93,9;0,367;99,45;0,734888848;727,7849225;3,123277604;3
3504701;55,56;0,537;62,59;205,84;32,15;0,384;98,29;1,349892009;241,3606911;1,61987041;2
3504800;11,76;0,695;60,5;735,55;93,24;0,439;98,82;0,469263257;676,5603003;1,173158142;2
3504909;21,28;0,653;17,76;528,97;84,44;0,515;94,39;0,938878978;348,6057647;2,910524833;2
3505005;17,54;0,649;22,65;446,88;63,73;0,477;84,08;1,182382501;539,462016;0,59119125;2
3505104;11,36;0,599;36,07;489,35;85,53;0,413;98,44;0,411861614;378,2262493;0,686436024;2
3505203;9,98;0,662;79,35;677,08;96,38;0,431;99,52;1,970994028;401,2590828;1,912158386;2
3505302;13,42;0,739;240,65;729,78;98,15;0,454;99,74;2,835538752;369,622501;3,465658475;3
3505351;27,78;0,599;14,11;303,98;29,44;0,549;65,62;1,265822785;702,7124774;0,361663653;2
3505401;12,05;0,532;7,6;359,38;46,72;0,504;76,58;0,910628334;772,6030961;1,821256667;1
3505500;14,57;0,738;77,96;792,94;96,95;0,489;98,26;2,702290594;476,933112;8,437245866;2
3505609;8,51;0,646;224,7;529,22;98,89;0,408;97,26;0,958624528;530,9542953;1,793555569;3
3505708;8,47;0,708;4173,18;877,46;100;0,62;90,95;1,407012368;893,4906767;6,059230682;4
3505807;10,34;0,718;122,6;518,35;88,67;0,418;99,33;1,724053002;628,0478794;1,822570317;3
